id,session_end,session_start,session_dur,session_counter,"session_id","ratid"
1,1596175681,1596175517,164,3,"lamj28bearjk55b3vl0sqlfb4d","rhf2vmahb5"
2,1596182016,1596181513,503,6,"p24fha53v81l329c1a27moibrm","r1t56uo71a"
3,1596182293,1596181738,555,7,"64fu2mahtsdfedhusoerj3b5k6","rhf2vmahb5"
4,1596183365,1596182269,1096,15,"kk1difg2vebnocdn64m8c5ggg8","r1t56uo71a"
5,1596184625,1596183998,627,10,"t0l82r3fkckfrh8ivq2s3q46qv","r1t56uo71a"
6,1596188402,1596185489,2913,43,"bpuv7cpdqvpm85f60e4s5q03pn","rhf2vmahb5"
7,1596185703,1596185529,174,2,"3fnvintfq528hsopblbaaus96h","r1t56uo71a"
8,1596188948,1596188706,242,4,"t72js8rrcdaorii56vc5nd82rr","rhf2vmahb5"
9,1596189455,1596189253,202,3,"9sfh02acmau1bam4kagqa9nuor","rhf2vmahb5"
10,1596189919,1596189698,221,3,"tnheeholrgt2ttk5oqio1psbaj","rhf2vmahb5"
11,1596193297,1596193083,214,4,"l5otmkia53ru907rbrmpp6h85h","rhf2vmahb5"
12,1596194600,1596193860,740,13,"7qujoglq86m6n2ie0gbgm16dcs","rhf2vmahb5"
13,1596195240,1596194759,481,6,"lk5f1tk6l277bl29v8ubcpm1ng","r1t56uo71a"
14,1596197142,1596194800,2342,40,"365cq1j33i0ko9bn26cagf8f9g","rhf2vmahb5"
15,1596198710,1596197571,1139,18,"e924vqstofibuhbh57p3f45gg1","rhf2vmahb5"
16,1596199519,1596198876,643,10,"mh4ko85ks81oq1651k7i3kipkd","rhf2vmahb5"
17,1596202688,1596200713,1975,26,"425bdm5q8o2o7mpgbn1ea2218m","rhf2vmahb5"
18,1596201617,1596201244,373,6,"3ijmla3qmur2gcao6n7v43o11b","r1t56uo71a"
19,1596203245,1596202506,739,15,"2itvsmjp4cp9tse42sij82qch7","r1t56uo71a"
20,1596203435,1596202880,555,7,"v1dht3lmi80o5l43m0iifg4orv","rhf2vmahb5"
21,1596208863,1596208745,118,1,"548jhosu7enqa4mn64re1bj5g8","rhf2vmahb5"
22,1596211304,1596210318,986,18,"8hrub5115fprf7h6nft03jftl6","rhf2vmahb5"
23,1596370971,1596370725,246,3,"oui6pu295l65dlnrvccl801rsn","r1t56uo71a"
24,1596371596,1596371111,485,9,"bqi2ofhhl1i2lkbrh7su8j31oe","r1t56uo71a"
25,1596373751,1596371719,2032,43,"ob0cimfqth3u2fuiftgsrmquoj","r1t56uo71a"
26,1596374221,1596373853,368,8,"qki33p9i9kc28k3sn2biseq45i","r1t56uo71a"
27,NULL,1596373967,NULL,NULL,"aa0euq4ehf55j0tcipbjirp9ou","rk9dg7rv13"
28,1596375736,1596373993,1743,20,"l66l8k6p7s36hsgkemn88vjsq6","rk9dg7rv13"
29,1596376990,1596376341,649,9,"lsj83ju1ghd4dsqtckjj3v10cm","r1t56uo71a"
30,1596379932,1596377346,2586,48,"r35famk1kd6ojcgrfaqetmgntd","r1t56uo71a"
31,1596381519,1596380616,903,22,"4e471mr74dohapl7t026q2u5na","r1t56uo71a"
32,1596382118,1596381825,293,6,"i6e5c3fh3rup6446rav0dlr2sn","r1t56uo71a"
