id,"aspect","aspect_id","partid",aspect_ind,rater_rq5uph92ju,"ethical_rq5uph92ju","financial_rq5uph92ju","health_safety_rq5uph92ju","recreational_rq5uph92ju","social_rq5uph92ju","faith_rq5uph92ju","traffic_rq5uph92ju","general_rq5uph92ju","occupation_rq5uph92ju","competition_between_rq5uph92ju","competition_within_rq5uph92ju","status_power_rq5uph92ju","exploration_rq5uph92ju","food_selection_rq5uph92ju","food_acquisition_rq5uph92ju","parent_offspring_conflict_rq5uph92ju","kinship_rq5uph92ju","mate_attraction_rq5uph92ju","mate_retention_rq5uph92ju","soe_rq5uph92ju","gains_rq5uph92ju","losses_rq5uph92ju","p_loss_rq5uph92ju","p_gain_rq5uph92ju","need_rq5uph92ju","ability_rq5uph92ju","keep_status_quo_rq5uph92ju","change_status_quo_rq5uph92ju","relativize_rq5uph92ju","experience_rq5uph92ju","signaling_rq5uph92ju","social_norm_rq5uph92ju","pos_affect_rq5uph92ju","thrill_rq5uph92ju","religion_fate_rq5uph92ju","family_rq5uph92ju","regret_rq5uph92ju","fear_rq5uph92ju","neg_aff_oth_rq5uph92ju","long_term_rq5uph92ju","short_term_rq5uph92ju","personality_rq5uph92ju","age_rq5uph92ju","sex_rq5uph92ju","parental_status_rq5uph92ju","birth_order_rq5uph92ju","n_siblings_rq5uph92ju","rep_goal_rq5uph92ju","life_exp_rq5uph92ju","nonword_rq5uph92ju","ses_rq5uph92ju",rater_r1414o4nqf,"ethical_r1414o4nqf","financial_r1414o4nqf","health_safety_r1414o4nqf","recreational_r1414o4nqf","social_r1414o4nqf","faith_r1414o4nqf","traffic_r1414o4nqf","general_r1414o4nqf","occupation_r1414o4nqf","competition_between_r1414o4nqf","competition_within_r1414o4nqf","status_power_r1414o4nqf","exploration_r1414o4nqf","food_selection_r1414o4nqf","food_acquisition_r1414o4nqf","parent_offspring_conflict_r1414o4nqf","kinship_r1414o4nqf","mate_attraction_r1414o4nqf","mate_retention_r1414o4nqf","soe_r1414o4nqf","gains_r1414o4nqf","losses_r1414o4nqf","p_loss_r1414o4nqf","p_gain_r1414o4nqf","need_r1414o4nqf","ability_r1414o4nqf","keep_status_quo_r1414o4nqf","change_status_quo_r1414o4nqf","relativize_r1414o4nqf","experience_r1414o4nqf","signaling_r1414o4nqf","social_norm_r1414o4nqf","pos_affect_r1414o4nqf","thrill_r1414o4nqf","religion_fate_r1414o4nqf","family_r1414o4nqf","regret_r1414o4nqf","fear_r1414o4nqf","neg_aff_oth_r1414o4nqf","long_term_r1414o4nqf","short_term_r1414o4nqf","personality_r1414o4nqf","age_r1414o4nqf","sex_r1414o4nqf","parental_status_r1414o4nqf","birth_order_r1414o4nqf","n_siblings_r1414o4nqf","rep_goal_r1414o4nqf","life_exp_r1414o4nqf","nonword_r1414o4nqf","ses_r1414o4nqf",rater_r7sfbvv0kh,"ethical_r7sfbvv0kh","financial_r7sfbvv0kh","health_safety_r7sfbvv0kh","recreational_r7sfbvv0kh","social_r7sfbvv0kh","faith_r7sfbvv0kh","traffic_r7sfbvv0kh","general_r7sfbvv0kh","occupation_r7sfbvv0kh","competition_between_r7sfbvv0kh","competition_within_r7sfbvv0kh","status_power_r7sfbvv0kh","exploration_r7sfbvv0kh","food_selection_r7sfbvv0kh","food_acquisition_r7sfbvv0kh","parent_offspring_conflict_r7sfbvv0kh","kinship_r7sfbvv0kh","mate_attraction_r7sfbvv0kh","mate_retention_r7sfbvv0kh","soe_r7sfbvv0kh","gains_r7sfbvv0kh","losses_r7sfbvv0kh","p_loss_r7sfbvv0kh","p_gain_r7sfbvv0kh","need_r7sfbvv0kh","ability_r7sfbvv0kh","keep_status_quo_r7sfbvv0kh","change_status_quo_r7sfbvv0kh","relativize_r7sfbvv0kh","experience_r7sfbvv0kh","signaling_r7sfbvv0kh","social_norm_r7sfbvv0kh","pos_affect_r7sfbvv0kh","thrill_r7sfbvv0kh","religion_fate_r7sfbvv0kh","family_r7sfbvv0kh","regret_r7sfbvv0kh","fear_r7sfbvv0kh","neg_aff_oth_r7sfbvv0kh","long_term_r7sfbvv0kh","short_term_r7sfbvv0kh","personality_r7sfbvv0kh","age_r7sfbvv0kh","sex_r7sfbvv0kh","parental_status_r7sfbvv0kh","birth_order_r7sfbvv0kh","n_siblings_r7sfbvv0kh","rep_goal_r7sfbvv0kh","life_exp_r7sfbvv0kh","nonword_r7sfbvv0kh","ses_r7sfbvv0kh",rater_r4f5uhhj3h,"ethical_r4f5uhhj3h","financial_r4f5uhhj3h","health_safety_r4f5uhhj3h","recreational_r4f5uhhj3h","social_r4f5uhhj3h","faith_r4f5uhhj3h","traffic_r4f5uhhj3h","general_r4f5uhhj3h","occupation_r4f5uhhj3h","competition_between_r4f5uhhj3h","competition_within_r4f5uhhj3h","status_power_r4f5uhhj3h","exploration_r4f5uhhj3h","food_selection_r4f5uhhj3h","food_acquisition_r4f5uhhj3h","parent_offspring_conflict_r4f5uhhj3h","kinship_r4f5uhhj3h","mate_attraction_r4f5uhhj3h","mate_retention_r4f5uhhj3h","soe_r4f5uhhj3h","gains_r4f5uhhj3h","losses_r4f5uhhj3h","p_loss_r4f5uhhj3h","p_gain_r4f5uhhj3h","need_r4f5uhhj3h","ability_r4f5uhhj3h","keep_status_quo_r4f5uhhj3h","change_status_quo_r4f5uhhj3h","relativize_r4f5uhhj3h","experience_r4f5uhhj3h","signaling_r4f5uhhj3h","social_norm_r4f5uhhj3h","pos_affect_r4f5uhhj3h","thrill_r4f5uhhj3h","religion_fate_r4f5uhhj3h","family_r4f5uhhj3h","regret_r4f5uhhj3h","fear_r4f5uhhj3h","neg_aff_oth_r4f5uhhj3h","long_term_r4f5uhhj3h","short_term_r4f5uhhj3h","personality_r4f5uhhj3h","age_r4f5uhhj3h","sex_r4f5uhhj3h","parental_status_r4f5uhhj3h","birth_order_r4f5uhhj3h","n_siblings_r4f5uhhj3h","rep_goal_r4f5uhhj3h","life_exp_r4f5uhhj3h","nonword_r4f5uhhj3h","ses_r4f5uhhj3h",rater_rjjtklihoh,"ethical_rjjtklihoh","financial_rjjtklihoh","health_safety_rjjtklihoh","recreational_rjjtklihoh","social_rjjtklihoh","faith_rjjtklihoh","traffic_rjjtklihoh","general_rjjtklihoh","occupation_rjjtklihoh","competition_between_rjjtklihoh","competition_within_rjjtklihoh","status_power_rjjtklihoh","exploration_rjjtklihoh","food_selection_rjjtklihoh","food_acquisition_rjjtklihoh","parent_offspring_conflict_rjjtklihoh","kinship_rjjtklihoh","mate_attraction_rjjtklihoh","mate_retention_rjjtklihoh","soe_rjjtklihoh","gains_rjjtklihoh","losses_rjjtklihoh","p_loss_rjjtklihoh","p_gain_rjjtklihoh","need_rjjtklihoh","ability_rjjtklihoh","keep_status_quo_rjjtklihoh","change_status_quo_rjjtklihoh","relativize_rjjtklihoh","experience_rjjtklihoh","signaling_rjjtklihoh","social_norm_rjjtklihoh","pos_affect_rjjtklihoh","thrill_rjjtklihoh","religion_fate_rjjtklihoh","family_rjjtklihoh","regret_rjjtklihoh","fear_rjjtklihoh","neg_aff_oth_rjjtklihoh","long_term_rjjtklihoh","short_term_rjjtklihoh","personality_rjjtklihoh","age_rjjtklihoh","sex_rjjtklihoh","parental_status_rjjtklihoh","birth_order_rjjtklihoh","n_siblings_rjjtklihoh","rep_goal_rjjtklihoh","life_exp_rjjtklihoh","nonword_rjjtklihoh","ses_rjjtklihoh"
1,"I am willing to take a risk if the payoff for the risk is worth the amount of risk involved.","a_496","pkovd8l667",2,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","19","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2,"No kids allows more risk","a_243","p9i1pcugbb",2,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","27","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
3,"I THINK ABOUT THE RISK WEIGHT-AGE","a_117","p5f7kt8pmj",2,1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-3","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-12","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
4,"Me if I take on risk it will definitely be for a good reason","a_363","pf28ih4eu6",5,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","28","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
5,"In my line of work where loss of life is likely or could occur, I view it as noble to accept that risk. The jobs I have pursued are for the benefit of public safety and country. There is relatively small percentage of individuals who stand up and protect what they love. I believe it is worth the associated risk.","a_234","p961d9h451",4,1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","13","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","34","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","34","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
6,"i avoid taking risks because I like the same routine","a_71","p3dcqbv326",3,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-40","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-41","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-50","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
7,"Will I regret not taking the risk?","a_205","p7u54fcc4q",8,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
8,"I'm willing to take risk that are worth it.","a_472","pjkmi6p483",1,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","41","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
9,"I will generally stay on my plans and not go off tangent to avoid unnecessary risks","a_35","p1r1ko3a6n",3,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-23","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-37","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-31","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-38","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,"generally speaking i try to avoid risks. at 63 years old i've learned that it's almost always better to play things safe because it's important to keep expectations in check.","a_552","pn73cj70pg",1,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-37","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-41","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-43","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
