id,session_end,session_start,session_dur,session_counter,"session_id","ratid"
1,1596094315,1596092905,1410,11,"21e884ui3hfjt1pr0iklv0jpd7","r03u949r33"
2,1596096036,1596094864,1172,12,"mpd2lijkg4fcpesobt3h9jv2uc","r03u949r33"
3,1596097992,1596096807,1185,11,"gd2r63j06eem7jinde4i2t3cd4","r03u949r33"
4,1596098763,1596098155,608,1,"iupb8r7f93bvv8a5gjis0c0c0h","r03u949r33"
5,1596099441,1596098863,578,6,"bt7fleki5ldvot8tb6g3junc44","r03u949r33"
6,1596101371,1596099612,1759,19,"k0g7esqm06r0fjk3qf7mk3d144","r03u949r33"
7,1596104170,1596102701,1469,10,"l0omgmurjembjuq0so8dbl677d","rik0vddciu"
8,NULL,1596109242,NULL,NULL,"ffqc06bgco77ill83hebq1j2np","rik0vddciu"
9,1596112301,1596112287,14,0,"tdet49si9oecvl8ht379nif28j","r03u949r33"
10,NULL,1596112355,NULL,NULL,"3uja3dju9gmo41drbie0masueu","rik0vddciu"
11,1596115484,1596112660,2824,31,"4ql8rg86afqk9e9artj7c8up7r","rik0vddciu"
12,NULL,1596112992,NULL,NULL,"ed6lgufsitcv2fben30d7inhgb","riohvnaedc"
13,1596117212,1596113168,4044,31,"11ut05b18er3all1kpde1n02qf","riohvnaedc"
14,1596116979,1596115937,1042,17,"bttgnu40tqiak47st1db7a72cd","rik0vddciu"
15,1596121167,1596119842,1325,15,"me9d86ghvdhb95fcusua5vflrf","riohvnaedc"
16,1596122266,1596121726,540,9,"7rmtcjc4bamv5emn0ue99oltto","riohvnaedc"
17,1596122953,1596122606,347,5,"dan4tqej5jrbd4gpbsnnvbln04","riohvnaedc"
