id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,r_frequency,r_social,r_situation
1,"p4f8fpkh64","judg_asp","std","gen",0,"of course I am, nothing good comes from not taking a risk",34,38,36,42
2,"p4f8fpkh64","judg_asp","std","gen",1,"who doesnt take risks",62,59,71,59
3,"p4f8fpkh64","judg_asp","std","gen",2,"Wow! I love taking risks",60,66,61,78
4,"pr33im0khj","asp_judg","rev","gen",0,"No, I enjoy taking risks.",79,78,95,97
5,"pr33im0khj","asp_judg","rev","gen",1,"No",77,28,83,95
6,"pdstj0n8k2","judg_asp","std","gen",0,"I am afraid of committing anything risky for fear of losing something.",0,0,51,63
7,"pvi4j9ef41","judg_asp","rev","gen",0,"I'm scared",17,73,0,42
8,"pfcib1keji","asp_judg","std","gen",0,"I take risks all the time",80,75,79,80
9,"pfcib1keji","asp_judg","std","gen",1,"I like to try new things",73,65,71,70
10,"pfcib1keji","asp_judg","std","gen",2,"I am not scared of much",65,43,41,55
11,"pfcib1keji","asp_judg","std","gen",3,"Life would be dull without risks",89,30,33,75
12,"psgt9qcep6","asp_judg","rev","gen",0,"I prefer to be assured of an outcome.",0,61,0,0
13,"psgt9qcep6","asp_judg","rev","gen",1,"I dislike not knowing what will happen.",0,84,0,0
14,"p3262keug8","judg_asp","std","gen",0,"i dont want to waste money i dont have",5,89,8,12
15,"pdonrgal58","judg_asp","rev","gen",0,"I don't like to spend excess money.",0,11,1,70
16,"p3262keug8","judg_asp","std","gen",1,"i dont want to take a chance i will lose",0,86,17,14
17,"pdonrgal58","judg_asp","rev","gen",1,"I am concerned about the level of work I would have to do to get back to normal if I failed.",5,1,1,4
18,"pdonrgal58","judg_asp","rev","gen",2,"If I fail then everyone will know.",2,2,33,68
19,"p3262keug8","judg_asp","std","gen",2,"you dont know the outcome",16,73,57,80
20,"pdonrgal58","judg_asp","rev","gen",3,"Small risks are tolerable because I don't have to lose a lot.",58,16,0,72
21,"p3262keug8","judg_asp","std","gen",3,"i dont want to form a new habit",0,63,93,80
22,"pc07a08lab","asp_judg","rev","gen",0,"There is something to gain",100,31,0,0
23,"p3262keug8","judg_asp","std","gen",4,"i prefer to be safe",1,95,19,36
24,"ph6c4hf8cu","judg_asp","std","gen",0,"I can't afford risks.",10,96,0,6
