partid,aspect_ind,sentiment,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,done,soep_item,rating,aspect,r_risk,r_frequency,r_social,r_situation,aspect_ind_cat,r_risk_binary,n_seeking,n_avoiding,r_risk_s,r_social_s,r_situation_s,r_frequency_s,m_risk,m_risk_abs,m_social,m_situation,m_frequency,m_sentiment,l_sentiment,s_sentiment,SMRD
p4f8fpkh64,1,-2,judg_asp,std,22,male,14,employed,1k_2k,correct,correct,83,89,1,gen,8,"of course I am, nothing good comes from not taking a risk",-16,38,36,42,Aspect #1,avoiding,2,1,-1.1523319193960637,-1.1094003924504583,-0.9809769934083251,-1.1208970766356101,2,12.666666666666666,56,59.666666666666664,54.333333333333336,0.3333333333333333,5,-2,-1
p4f8fpkh64,2,-2,judg_asp,std,22,male,14,employed,1k_2k,correct,correct,83,89,1,gen,8,who doesnt take risks,12,59,71,59,Aspect #2,seeking,2,1,0.6401843996644799,0.8320502943378437,-0.03701799975125743,0.3202563076101741,2,12.666666666666666,56,59.666666666666664,54.333333333333336,0.3333333333333333,5,-2,-1
p4f8fpkh64,3,5,judg_asp,std,22,male,14,employed,1k_2k,correct,correct,83,89,1,gen,8,Wow! I love taking risks,10,66,61,78,Aspect #3,seeking,2,1,0.5121475197315839,0.2773500981126146,1.0179949931595829,0.8006407690254356,2,12.666666666666666,56,59.666666666666664,54.333333333333336,0.3333333333333333,5,-2,-1
pr33im0khj,1,0,asp_judg,rev,29,female,13,employed,2k_3k,correct,correct,98,100,1,gen,10,"No, I enjoy taking risks.",29,78,95,97,Aspect #1,seeking,1,0,NaN,NaN,NaN,NaN,29,29,95,97,78,0,0,0,1
pdstj0n8k2,1,-6,judg_asp,std,43,female,14,employed,1k_2k,correct,correct,100,100,1,gen,1,I am afraid of committing anything risky for fear of losing something.,-50,0,51,63,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,-50,50,51,63,0,-6,-6,-6,-1
pvi4j9ef41,1,-2,judg_asp,rev,24,female,15,selfemployed,0_1k,correct,correct,93,76,1,gen,3,I'm scared,-33,73,0,42,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,-33,33,0,42,73,-2,-2,-2,-1
pfcib1keji,1,-2,asp_judg,std,32,female,15,employed,5k_x,correct,correct,100,100,1,gen,8,I take risks all the time,30,75,79,80,Aspect #1,seeking,4,0,0.3183063694683546,1.0258592827013406,0.9258200997725515,1.0626627117714524,26.75,26.75,56,70,53.25,-2.6666666666666665,-2,-4,1
pfcib1keji,2,NA,asp_judg,std,32,female,15,employed,5k_x,correct,correct,100,100,1,gen,8,I like to try new things,23,65,71,70,Aspect #2,seeking,4,0,-0.3672765801557938,0.6690386626313092,0,0.5740821546351524,26.75,26.75,56,70,53.25,-2.6666666666666665,-2,-4,1
pfcib1keji,3,-2,asp_judg,std,32,female,15,employed,5k_x,correct,correct,100,100,1,gen,8,I am not scared of much,15,43,41,55,Aspect #3,seeking,4,0,-1.1507999511548206,-0.6690386626313092,-1.3887301496588271,-0.5007950710647074,26.75,26.75,56,70,53.25,-2.6666666666666665,-2,-4,1
pfcib1keji,4,-4,asp_judg,std,32,female,15,employed,5k_x,correct,correct,100,100,1,gen,8,Life would be dull without risks,39,30,33,75,Aspect #4,seeking,4,0,1.1997701618422598,-1.0258592827013406,0.46291004988627577,-1.1359497953418973,26.75,26.75,56,70,53.25,-2.6666666666666665,-2,-4,1
psgt9qcep6,1,NA,asp_judg,rev,38,female,12,selfemployed,1k_2k,correct,correct,100,100,1,gen,2,I prefer to be assured of an outcome.,-50,61,0,0,Aspect #1,avoiding,0,2,NaN,NaN,NaN,-0.7071067811865476,-50,50,0,0,72.5,-2,-2,-2,-1
psgt9qcep6,2,-2,asp_judg,rev,38,female,12,selfemployed,1k_2k,correct,correct,100,100,1,gen,2,I dislike not knowing what will happen.,-50,84,0,0,Aspect #2,avoiding,0,2,NaN,NaN,NaN,0.7071067811865476,-50,50,0,0,72.5,-2,-2,-2,-1
p3262keug8,1,-1,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,i dont want to waste money i dont have,-45,89,8,12,Aspect #1,avoiding,1,5,-0.37134030701838067,-1.0484783610091408,-1.1408380316439128,0.7288797057536811,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
p3262keug8,2,2,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,i dont want to take a chance i will lose,-50,86,17,14,Aspect #2,avoiding,1,5,-0.5738895653920429,-0.7899494500753801,-1.0771633508079737,0.5745287092411369,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
p3262keug8,3,NA,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,you dont know the outcome,-34,73,57,80,Aspect #3,avoiding,1,5,0.07426806140367626,0.3590679318524455,1.024101116778024,-0.09432560897988787,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
p3262keug8,4,NA,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,i dont want to form a new habit,-50,63,93,80,Aspect #4,avoiding,1,5,-0.5738895653920429,1.3931835755874886,1.024101116778024,-0.6088289306883684,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
p3262keug8,5,1,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,i prefer to be safe,-49,95,19,36,Aspect #5,avoiding,1,5,-0.5333797137173105,-0.7324985809789888,-0.37674186161264106,1.0375816987787694,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
p3262keug8,6,NA,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1,gen,4,it doesnt usually have a good outcome,13,43,73,65,Aspect #6+,seeking,1,5,1.9782310901161013,0.8186748846235757,0.5465410105084791,-1.6378355741053297,-35.833333333333336,40.166666666666664,44.5,47.833333333333336,74.83333333333333,0.6666666666666666,2,-1,-1
pdonrgal58,1,NA,judg_asp,rev,42,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,I don't like to spend excess money.,-50,11,1,70,Aspect #1,avoiding,1,3,-0.5822478144100305,-0.47917777618694113,0.49938893958226505,0.483814461463296,-33.75,37.75,8.75,53.5,7.5,-2,-2,-2,-1
pdonrgal58,2,-2,judg_asp,rev,42,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,I am concerned about the level of work I would have to do to get back to normal if I failed.,-45,1,1,4,Aspect #2,avoiding,1,3,-0.40309464074540574,-0.47917777618694113,-1.4981668187467951,-0.8985125712889782,-33.75,37.75,8.75,53.5,7.5,-2,-2,-2,-1
pdonrgal58,3,-2,judg_asp,rev,42,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,If I fail then everyone will know.,-48,2,33,68,Aspect #3,avoiding,1,3,-0.5105865449441805,1.4993627190365577,0.4388569469056269,-0.7602798680137508,-33.75,37.75,8.75,53.5,7.5,-2,-2,-2,-1
pdonrgal58,4,-2,judg_asp,rev,42,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,Small risks are tolerable because I don't have to lose a lot.,8,16,0,72,Aspect #4,seeking,1,3,1.4959290000996168,-0.5410071666626755,0.5599209322589033,1.1749779778394331,-33.75,37.75,8.75,53.5,7.5,-2,-2,-2,-1
pc07a08lab,1,2,asp_judg,rev,28,male,2,employed,3k_4k,correct,correct,99,88,1,gen,9,There is something to gain,50,31,0,0,Aspect #1,seeking,4,0,0.8660254037844387,-0.5,-0.7071067811865475,-0.06825236327899352,46,46,1,1,33.5,-0.3333333333333333,2,-4,1
pc07a08lab,2,NA,asp_judg,rev,28,male,2,employed,3k_4k,correct,correct,99,88,1,gen,9,There is something I want,50,86,0,1,Aspect #2,seeking,4,0,0.8660254037844387,-0.5,0,1.4332996288588638,46,46,1,1,33.5,-0.3333333333333333,2,-4,1
pc07a08lab,3,1,asp_judg,rev,28,male,2,employed,3k_4k,correct,correct,99,88,1,gen,9,I enjoy the challenge,42,6,4,3,Aspect #3,seeking,4,0,-0.8660254037844387,1.5,1.414213562373095,-0.7507759960689286,46,46,1,1,33.5,-0.3333333333333333,2,-4,1
pc07a08lab,4,-4,asp_judg,rev,28,male,2,employed,3k_4k,correct,correct,99,88,1,gen,9,I'm not really afraid of the failure,42,11,0,0,Aspect #4,seeking,4,0,-0.8660254037844387,-0.5,-0.7071067811865475,-0.6142712695109416,46,46,1,1,33.5,-0.3333333333333333,2,-4,1
ph6c4hf8cu,1,-2,judg_asp,std,45,female,14,employed,1k_2k,correct,correct,100,100,1,gen,1,I can't afford risks.,-40,96,0,6,Aspect #1,avoiding,0,3,NaN,-1.1547005383792515,-1.1547005383792515,-1.1547005383792535,-40,40,40.666666666666664,38.666666666666664,98.66666666666667,-0.6666666666666666,1,-2,-1
