id,"partid","aspect_id_1","aspect_id_2","aspect_1","aspect_2"
1,"p7loem1g49","s1.1","s1.2","there is no reason to take risks.","the benefits don't outweigh the cost of taking risks"
2,"p7loem1g49","s1.1","s1.3","there is no reason to take risks.","i get too nervous"
3,"p7loem1g49","s1.1","s1.4","there is no reason to take risks.","i hate to lose"
4,"p7loem1g49","s1.1","s2.1","there is no reason to take risks.","normally the benefits don't out weigh the risks."
5,"p7loem1g49","s1.1","s2.2","there is no reason to take risks.","i like to be in control"
6,"p7loem1g49","s1.1","s2.3","there is no reason to take risks.","i don't like to lose."
7,"p7loem1g49","s1.1","s2.4","there is no reason to take risks.","i want to keep what i have gained."
8,"p7loem1g49","s1.2","s1.3","the benefits don't outweigh the cost of taking risks","i get too nervous"
9,"p7loem1g49","s1.2","s1.4","the benefits don't outweigh the cost of taking risks","i hate to lose"
10,"p7loem1g49","s1.2","s2.1","the benefits don't outweigh the cost of taking risks","normally the benefits don't out weigh the risks."
11,"p7loem1g49","s1.2","s2.2","the benefits don't outweigh the cost of taking risks","i like to be in control"
12,"p7loem1g49","s1.2","s2.3","the benefits don't outweigh the cost of taking risks","i don't like to lose."
13,"p7loem1g49","s1.2","s2.4","the benefits don't outweigh the cost of taking risks","i want to keep what i have gained."
14,"p7loem1g49","s1.3","s1.4","i get too nervous","i hate to lose"
15,"p7loem1g49","s1.3","s2.1","i get too nervous","normally the benefits don't out weigh the risks."
16,"p7loem1g49","s1.3","s2.2","i get too nervous","i like to be in control"
17,"p7loem1g49","s1.3","s2.3","i get too nervous","i don't like to lose."
18,"p7loem1g49","s1.3","s2.4","i get too nervous","i want to keep what i have gained."
19,"p7loem1g49","s1.4","s2.1","i hate to lose","normally the benefits don't out weigh the risks."
20,"p7loem1g49","s1.4","s2.2","i hate to lose","i like to be in control"
21,"p7loem1g49","s1.4","s2.3","i hate to lose","i don't like to lose."
22,"p7loem1g49","s1.4","s2.4","i hate to lose","i want to keep what i have gained."
23,"p7loem1g49","s2.1","s2.2","normally the benefits don't out weigh the risks.","i like to be in control"
24,"p7loem1g49","s2.1","s2.3","normally the benefits don't out weigh the risks.","i don't like to lose."
25,"p7loem1g49","s2.1","s2.4","normally the benefits don't out weigh the risks.","i want to keep what i have gained."
26,"p7loem1g49","s2.2","s2.3","i like to be in control","i don't like to lose."
27,"p7loem1g49","s2.2","s2.4","i like to be in control","i want to keep what i have gained."
28,"p7loem1g49","s2.3","s2.4","i don't like to lose.","i want to keep what i have gained."
29,"pncs0ht0r2","s1.1","s1.2","i avoid risks because i do not want to lose more than what i already have.","i will avoid risks because it is safer for me."
30,"pncs0ht0r2","s1.1","s1.3","i avoid risks because i do not want to lose more than what i already have.","i avoid risks because i don't like anything that is unpredictable."
31,"pncs0ht0r2","s1.1","s1.4","i avoid risks because i do not want to lose more than what i already have.","i avoid risks because it isn't a stable lifestyle for me."
32,"pncs0ht0r2","s1.1","s2.1","i avoid risks because i do not want to lose more than what i already have.","taking risks can bring better rewards"
33,"pncs0ht0r2","s1.1","s2.2","i avoid risks because i do not want to lose more than what i already have.","taking risks can build your strengths."
34,"pncs0ht0r2","s1.1","s2.3","i avoid risks because i do not want to lose more than what i already have.","taking risks will make me learn new things."
35,"pncs0ht0r2","s1.1","s2.4","i avoid risks because i do not want to lose more than what i already have.","risks will help me grow as a person."
36,"pncs0ht0r2","s1.1","s2.5","i avoid risks because i do not want to lose more than what i already have.","risk will make my life happier."
37,"pncs0ht0r2","s1.2","s1.3","i will avoid risks because it is safer for me.","i avoid risks because i don't like anything that is unpredictable."
38,"pncs0ht0r2","s1.2","s1.4","i will avoid risks because it is safer for me.","i avoid risks because it isn't a stable lifestyle for me."
39,"pncs0ht0r2","s1.2","s2.1","i will avoid risks because it is safer for me.","taking risks can bring better rewards"
40,"pncs0ht0r2","s1.2","s2.2","i will avoid risks because it is safer for me.","taking risks can build your strengths."
41,"pncs0ht0r2","s1.2","s2.3","i will avoid risks because it is safer for me.","taking risks will make me learn new things."
42,"pncs0ht0r2","s1.2","s2.4","i will avoid risks because it is safer for me.","risks will help me grow as a person."
43,"pncs0ht0r2","s1.2","s2.5","i will avoid risks because it is safer for me.","risk will make my life happier."
44,"pncs0ht0r2","s1.3","s1.4","i avoid risks because i don't like anything that is unpredictable.","i avoid risks because it isn't a stable lifestyle for me."
45,"pncs0ht0r2","s1.3","s2.1","i avoid risks because i don't like anything that is unpredictable.","taking risks can bring better rewards"
46,"pncs0ht0r2","s1.3","s2.2","i avoid risks because i don't like anything that is unpredictable.","taking risks can build your strengths."
47,"pncs0ht0r2","s1.3","s2.3","i avoid risks because i don't like anything that is unpredictable.","taking risks will make me learn new things."
48,"pncs0ht0r2","s1.3","s2.4","i avoid risks because i don't like anything that is unpredictable.","risks will help me grow as a person."
49,"pncs0ht0r2","s1.3","s2.5","i avoid risks because i don't like anything that is unpredictable.","risk will make my life happier."
50,"pncs0ht0r2","s1.4","s2.1","i avoid risks because it isn't a stable lifestyle for me.","taking risks can bring better rewards"
51,"pncs0ht0r2","s1.4","s2.2","i avoid risks because it isn't a stable lifestyle for me.","taking risks can build your strengths."
52,"pncs0ht0r2","s1.4","s2.3","i avoid risks because it isn't a stable lifestyle for me.","taking risks will make me learn new things."
53,"pncs0ht0r2","s1.4","s2.4","i avoid risks because it isn't a stable lifestyle for me.","risks will help me grow as a person."
54,"pncs0ht0r2","s1.4","s2.5","i avoid risks because it isn't a stable lifestyle for me.","risk will make my life happier."
55,"pncs0ht0r2","s2.1","s2.2","taking risks can bring better rewards","taking risks can build your strengths."
56,"pncs0ht0r2","s2.1","s2.3","taking risks can bring better rewards","taking risks will make me learn new things."
57,"pncs0ht0r2","s2.1","s2.4","taking risks can bring better rewards","risks will help me grow as a person."
58,"pncs0ht0r2","s2.1","s2.5","taking risks can bring better rewards","risk will make my life happier."
59,"pncs0ht0r2","s2.2","s2.3","taking risks can build your strengths.","taking risks will make me learn new things."
60,"pncs0ht0r2","s2.2","s2.4","taking risks can build your strengths.","risks will help me grow as a person."
61,"pncs0ht0r2","s2.2","s2.5","taking risks can build your strengths.","risk will make my life happier."
62,"pncs0ht0r2","s2.3","s2.4","taking risks will make me learn new things.","risks will help me grow as a person."
63,"pncs0ht0r2","s2.3","s2.5","taking risks will make me learn new things.","risk will make my life happier."
64,"pncs0ht0r2","s2.4","s2.5","risks will help me grow as a person.","risk will make my life happier."
65,"p3jalp38g1","s1.1","s1.2","i don't want to lose money.","i don't want to feel like a failure."
66,"p3jalp38g1","s1.1","s1.3","i don't want to lose money.","i want to move forward in life which requires some risk."
67,"p3jalp38g1","s1.1","s1.4","i don't want to lose money.","if you don't take risks you don't know what you are truly capable of."
68,"p3jalp38g1","s1.1","s2.1","i don't want to lose money.","i would rather regret something i did do than regret that i didn't try something."
69,"p3jalp38g1","s1.1","s2.2","i don't want to lose money.","usually when i take calculated risks that are well thought-out, i have fair to good results."
70,"p3jalp38g1","s1.1","s2.3","i don't want to lose money.","life gets boring if i don't take any risks."
71,"p3jalp38g1","s1.1","s2.4","i don't want to lose money.","if i want to get ahead, some risks are pretty much inevitable."
72,"p3jalp38g1","s1.2","s1.3","i don't want to feel like a failure.","i want to move forward in life which requires some risk."
73,"p3jalp38g1","s1.2","s1.4","i don't want to feel like a failure.","if you don't take risks you don't know what you are truly capable of."
74,"p3jalp38g1","s1.2","s2.1","i don't want to feel like a failure.","i would rather regret something i did do than regret that i didn't try something."
75,"p3jalp38g1","s1.2","s2.2","i don't want to feel like a failure.","usually when i take calculated risks that are well thought-out, i have fair to good results."
76,"p3jalp38g1","s1.2","s2.3","i don't want to feel like a failure.","life gets boring if i don't take any risks."
77,"p3jalp38g1","s1.2","s2.4","i don't want to feel like a failure.","if i want to get ahead, some risks are pretty much inevitable."
78,"p3jalp38g1","s1.3","s1.4","i want to move forward in life which requires some risk.","if you don't take risks you don't know what you are truly capable of."
79,"p3jalp38g1","s1.3","s2.1","i want to move forward in life which requires some risk.","i would rather regret something i did do than regret that i didn't try something."
80,"p3jalp38g1","s1.3","s2.2","i want to move forward in life which requires some risk.","usually when i take calculated risks that are well thought-out, i have fair to good results."
81,"p3jalp38g1","s1.3","s2.3","i want to move forward in life which requires some risk.","life gets boring if i don't take any risks."
82,"p3jalp38g1","s1.3","s2.4","i want to move forward in life which requires some risk.","if i want to get ahead, some risks are pretty much inevitable."
83,"p3jalp38g1","s1.4","s2.1","if you don't take risks you don't know what you are truly capable of.","i would rather regret something i did do than regret that i didn't try something."
84,"p3jalp38g1","s1.4","s2.2","if you don't take risks you don't know what you are truly capable of.","usually when i take calculated risks that are well thought-out, i have fair to good results."
85,"p3jalp38g1","s1.4","s2.3","if you don't take risks you don't know what you are truly capable of.","life gets boring if i don't take any risks."
86,"p3jalp38g1","s1.4","s2.4","if you don't take risks you don't know what you are truly capable of.","if i want to get ahead, some risks are pretty much inevitable."
