id,"ratid",id_aspects,rating
1,"r9rhsgcbn1",1339,3
2,"r9rhsgcbn1",1410,2
3,"r9rhsgcbn1",1344,1
4,"r9rhsgcbn1",1389,1
5,"r9rhsgcbn1",1374,3
6,"r9rhsgcbn1",1398,3
7,"r9rhsgcbn1",1390,2
8,"r9rhsgcbn1",1291,4
9,"r9rhsgcbn1",1396,4
10,"r9rhsgcbn1",1412,4
11,"r9rhsgcbn1",1289,3
12,"r9rhsgcbn1",1272,3
13,"r9rhsgcbn1",1315,0
14,"r9rhsgcbn1",1263,3
15,"r9rhsgcbn1",1420,4
16,"r9rhsgcbn1",1417,4
17,"r9rhsgcbn1",1368,2
18,"r9rhsgcbn1",1355,2
19,"r9rhsgcbn1",1238,3
20,"r9rhsgcbn1",1310,1
21,"r9rhsgcbn1",1248,2
22,"r9rhsgcbn1",1234,2
23,"r9rhsgcbn1",1246,2
24,"r9rhsgcbn1",1281,3
25,"r9rhsgcbn1",1346,1
26,"r9rhsgcbn1",1332,2
27,"r9rhsgcbn1",1350,1
28,"r9rhsgcbn1",1387,2
29,"r9rhsgcbn1",1311,1
30,"r9rhsgcbn1",1280,3
31,"r9rhsgcbn1",1351,1
32,"r9rhsgcbn1",1233,5
33,"r9rhsgcbn1",1416,4
34,"r9rhsgcbn1",1278,3
35,"r9rhsgcbn1",1371,2
36,"r9rhsgcbn1",1402,2
37,"r9rhsgcbn1",1255,1
38,"r9rhsgcbn1",1340,1
39,"r9rhsgcbn1",1274,3
40,"r9rhsgcbn1",1424,4
41,"r9rhsgcbn1",1331,3
42,"r9rhsgcbn1",1326,3
43,"r9rhsgcbn1",1271,3
44,"r9rhsgcbn1",1243,2
45,"r9rhsgcbn1",1356,3
46,"r9rhsgcbn1",1267,4
47,"r9rhsgcbn1",1317,4
48,"r9rhsgcbn1",1414,4
49,"r9rhsgcbn1",1375,2
50,"r9rhsgcbn1",1388,4
51,"r9rhsgcbn1",1230,4
52,"r9rhsgcbn1",1411,4
53,"r9rhsgcbn1",1426,3
54,"r9rhsgcbn1",1247,3
55,"r9rhsgcbn1",1284,4
56,"r9rhsgcbn1",1400,3
57,"r9rhsgcbn1",1334,4
58,"r9rhsgcbn1",1239,4
59,"r9rhsgcbn1",1266,3
60,"r9rhsgcbn1",1257,4
61,"r9rhsgcbn1",1283,3
62,"r9rhsgcbn1",1413,4
63,"r9rhsgcbn1",1397,3
64,"r9rhsgcbn1",1312,4
65,"r9rhsgcbn1",1268,2
66,"r9rhsgcbn1",1242,4
67,"r9rhsgcbn1",1305,2
68,"r9rhsgcbn1",1422,3
69,"r9rhsgcbn1",1335,3
70,"r9rhsgcbn1",1342,2
71,"r9rhsgcbn1",1296,4
72,"r9rhsgcbn1",1285,4
73,"r9rhsgcbn1",1419,4
74,"r9rhsgcbn1",1377,4
75,"r9rhsgcbn1",1297,4
76,"r9rhsgcbn1",1367,2
77,"r9rhsgcbn1",1235,3
78,"r9rhsgcbn1",1386,2
79,"r9rhsgcbn1",1373,4
80,"r9rhsgcbn1",1229,3
81,"r9rhsgcbn1",1323,4
82,"r9rhsgcbn1",1361,2
83,"r9rhsgcbn1",1372,4
84,"r9rhsgcbn1",1369,2
85,"r9rhsgcbn1",1403,4
86,"r9rhsgcbn1",1358,3
87,"r9rhsgcbn1",1325,4
88,"r9rhsgcbn1",1382,4
89,"r9rhsgcbn1",1294,3
90,"r9rhsgcbn1",1347,4
91,"r9rhsgcbn1",1338,2
92,"r9rhsgcbn1",1337,2
93,"r9rhsgcbn1",1378,1
94,"r9rhsgcbn1",1253,2
95,"r9rhsgcbn1",1292,3
96,"r9rhsgcbn1",1394,4
97,"r9rhsgcbn1",1265,4
98,"r9rhsgcbn1",1244,1
99,"r9rhsgcbn1",1321,2
