id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,"r_frequency","r_social","r_situation","r_control","r_active"
1,"p7loem1g49","asp_judg","std","gen",0,"There is no reason to take risks.",-40,"week","0","0","controllable","passive"
2,"p7loem1g49","asp_judg","std","gen",1,"The benefits don't outweigh the cost of taking risks",-36,"month","NA","NA","controllable","active"
3,"p7loem1g49","asp_judg","std","gen",2,"I get too nervous ",-34,"day","0","1","uncontrollable","NA"
4,"p7loem1g49","asp_judg","std","gen",3,"I hate to lose",-34,"month","0","1","uncontrollable","active"
5,"p71jh3giea","asp_judg","std","gen",0,"If i take risks at work or not",-19,"week","0","1","controllable","passive"
6,"p5be8h0nak","asp_judg","std","gen",0,"Yes because life is boring without taking risks.",44,"month","0","1","uncontrollable","active"
7,"p5be8h0nak","asp_judg","std","gen",1,"Yes because high risk can equal high reward",41,"less_reg","NA","1","uncontrollable","active"
8,"p5be8h0nak","asp_judg","std","gen",2,"Yes because risks can be exciting.",46,"year","0","1","controllable","active"
9,"pnjr3bugl5","asp_judg","std","gen",0,"Uncertain of outcome",NULL,NULL,NULL,NULL,NULL,NULL
10,"pnjr3bugl5","asp_judg","std","gen",1,"injuries",NULL,NULL,NULL,NULL,NULL,NULL
11,"pf354rpeb8","asp_judg","std","gen",0,"none",NULL,NULL,NULL,NULL,NULL,NULL
12,"pncs0ht0r2","asp_judg","std","gen",0,"I avoid risks because I do not want to lose more than what I already have.",-50,"month","1","1","controllable","active"
13,"pncs0ht0r2","asp_judg","std","gen",1,"I will avoid risks because it is safer for me.",-50,"month","1","1","controllable","active"
14,"pncs0ht0r2","asp_judg","std","gen",2,"I avoid risks because I don't like anything that is unpredictable.",-50,"month","1","1","controllable","active"
15,"p3jalp38g1","asp_judg","std","gen",0,"I don't want to lose money.",-50,"less_once","1","1","controllable","active"
16,"p3jalp38g1","asp_judg","std","gen",1,"I don't want to feel like a failure.",-33,"year","0","0","controllable","passive"
17,"pncs0ht0r2","asp_judg","std","gen",3,"I avoid risks because it isn't a stable lifestyle for me.",-50,"month","1","1","controllable","active"
18,"p3jalp38g1","asp_judg","std","gen",2,"I want to move forward in life which requires some risk.",50,"week","1","1","controllable","active"
