partid,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,done,device,duration
ps5grbebll,asp_judg,std,34,female,13,employed,4k_5k,NA,NA,NA,NA,NA,NA,NA
p7loem1g49,asp_judg,std,60,female,16,selfemployed,1k_2k,correct,correct,100,100,1,desktop,410
p71jh3giea,asp_judg,std,25,male,12,employed,2k_3k,correct,correct,100,100,1,desktop,93
p5be8h0nak,asp_judg,std,39,male,15,employed,2k_3k,correct,correct,96,91,1,laptop,183
pnjr3bugl5,asp_judg,std,30,male,14,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA
pjm8jrqiru,asp_judg,std,28,male,14,employed,3k_4k,NA,NA,NA,NA,NA,NA,NA
pf354rpeb8,asp_judg,std,37,female,16,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA
pncs0ht0r2,asp_judg,std,26,male,16,employed,2k_3k,correct,correct,100,100,1,desktop,184
p3jalp38g1,asp_judg,std,35,female,20,employed,1k_2k,correct,correct,100,100,1,laptop,221
prhlujas8r,asp_judg,std,30,male,14,employed,2k_3k,correct,correct,79,36,1,desktop,204
ps98rq7foh,asp_judg,std,30,male,16,employed,5k_x,correct,correct,100,100,1,desktop,536
p1taj15j1d,asp_judg,std,36,male,16,employed,1k_2k,correct,correct,100,100,1,desktop,160
p5kjm8e5kg,asp_judg,std,32,male,16,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA
ph5m9h66nm,asp_judg,std,26,male,16,employed,2k_3k,correct,correct,64,87,1,desktop,146
p0ukliu18j,asp_judg,std,34,female,18,employed,1k_2k,correct,correct,100,100,1,desktop,265
pddp1iltbm,asp_judg,std,39,female,15,employed,1k_2k,correct,correct,100,100,1,laptop,219
pkiuh7rqvu,asp_judg,std,59,male,15,employed,3k_4k,correct,correct,100,100,1,desktop,475
p7u54fcc4q,asp_judg,std,65,female,14,employed,2k_3k,correct,correct,91,83,1,laptop,686
pr4ak5i3sl,asp_judg,std,26,female,16,employed,4k_5k,correct,correct,96,95,1,laptop,142
p4oucjvdm1,asp_judg,std,29,male,16,employed,1k_2k,correct,correct,100,100,1,desktop,181
pl40upe2b5,asp_judg,std,25,female,16,employed,2k_3k,correct,correct,100,100,1,desktop,192
p35a1ai7bf,asp_judg,std,64,male,13,employed,5k_x,correct,correct,100,100,1,laptop,346
pncnv2dom0,asp_judg,std,60,male,14,employed,2k_3k,correct,correct,99,99,1,laptop,615
pr1tt4np6b,asp_judg,std,25,male,16,employed,0_1k,correct,correct,100,100,1,laptop,240
p3dcqbv326,asp_judg,std,29,female,11,employed,3k_4k,correct,correct,100,100,1,laptop,174
pbai7dfvr0,asp_judg,std,42,male,20,employed,5k_x,correct,correct,100,100,1,desktop,286
p7s0qv9m0d,asp_judg,std,36,male,18,employed,3k_4k,correct,correct,100,63,1,laptop,147
pq7r70mnvs,asp_judg,std,21,female,15,employed,3k_4k,correct,correct,100,100,1,laptop,199
p7evqmdeek,asp_judg,std,32,male,12,employed,3k_4k,correct,correct,100,100,1,desktop,266
pvv3hg6tjb,asp_judg,std,33,male,16,employed,4k_5k,correct,correct,100,100,1,laptop,280
pieg7b7s35,asp_judg,std,24,female,17,employed,2k_3k,correct,correct,91,75,1,laptop,270
p6mq9bhhpb,asp_judg,std,45,male,14,employed,2k_3k,correct,correct,98,100,1,desktop,226
pn7id3vdsa,asp_judg,std,54,female,15,employed,4k_5k,NA,NA,NA,NA,NA,NA,NA
p7dan4d83h,asp_judg,std,25,female,14,selfemployed,1k_2k,correct,correct,100,100,1,desktop,96
phm4b9ib1i,asp_judg,std,30,male,18,employed,5k_x,NA,NA,NA,NA,NA,NA,NA
pti8q2pfad,asp_judg,std,26,male,18,employed,1k_2k,correct,correct,100,100,1,desktop,335
pvde81okc3,asp_judg,std,29,male,16,employed,3k_4k,correct,correct,85,90,1,laptop,223
pm7pqdtgeh,asp_judg,std,29,male,16,employed,5k_x,NA,NA,NA,NA,NA,NA,NA
pfd9oceeid,asp_judg,std,51,male,20,employed,1k_2k,NA,NA,NA,NA,NA,NA,NA
pcqs85n21b,asp_judg,std,43,male,12,employed,2k_3k,correct,correct,100,100,1,laptop,716
ptfcfaaij3,asp_judg,std,24,male,12,employed,1k_2k,correct,correct,91,84,1,desktop,141
pcbvjr6j6c,asp_judg,std,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p1e4oq4tga,asp_judg,std,23,male,12,employed,1k_2k,correct,correct,100,100,1,desktop,186
pmrojsjeh0,asp_judg,std,36,female,13,employed,4k_5k,correct,correct,100,100,1,laptop,176
p4pbpo8to2,asp_judg,std,35,male,12,employed,1k_2k,NA,NA,NA,NA,NA,NA,NA
ps8bpoliol,asp_judg,std,27,male,16,employed,4k_5k,correct,correct,100,100,1,desktop,290
pg3evmk92s,asp_judg,std,30,male,14,selfemployed,1k_2k,correct,correct,100,96,1,desktop,420
p2cuoibpid,asp_judg,std,25,female,16,employed,3k_4k,correct,correct,100,100,1,laptop,241
p75s2qi84c,asp_judg,std,57,female,15,employed,4k_5k,correct,correct,100,100,1,laptop,321
p36qu3helc,asp_judg,std,42,male,12,unemployed,0_1k,NA,NA,NA,NA,NA,NA,NA
paktl8bjj7,asp_judg,std,27,female,17,employed,2k_3k,correct,correct,100,100,1,laptop,141
pqp37b82le,asp_judg,std,38,male,12,employed,3k_4k,correct,correct,100,100,1,laptop,381
plj3japve9,asp_judg,std,70,male,16,selfemployed,2k_3k,NA,NA,NA,NA,NA,NA,NA
