partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,duration
p01n5qi2cl,39,female,0,0,4,-4,-1,-47.25,-189,0.25,0,0,2.5,0.75,-2.5,-3,-2,-1,4,13,employed,0_1k,4,349
p021ssajin,45,female,1,0,5,-5,-1,-41.6,-208,0.6666666666666666,0,0.5,2,1,-2,-3,-1,-1,5,16,employed,2k_3k,5,539
p08fcnk0hj,32,male,3,0,3,-3,-1,-44,-132,0,0,0.3333333333333333,4,0.5,-1,-1,-1,-1,3,17,employed,4k_5k,3,347
p08sennfgv,20,male,8,3,0,3,1,20.666666666666668,62,0,1,1,3,1,0.3333333333333333,0,1,1,3,15,student,1k_2k,3,629
p0g53tkf8o,34,male,7,2,0,2,1,39.5,79,1,0.5,1,3.5,0.5,0.5,0,1,1,2,16,employed,2k_3k,2,134
p0oa92mvhu,48,female,0,0,6,-6,-1,-49.833333333333336,-299,0.8333333333333334,0.6666666666666666,1,1.5,0.6666666666666666,-0.4,-1,1,-1,6,18,employed,2k_3k,6,288
p0ukliu18j,34,female,2,0,3,-3,-1,-42,-126,1,0,0.3333333333333333,5,0.3333333333333333,-2,-3,-1,-1,3,18,employed,1k_2k,3,265
p17frg3toe,29,female,7,3,3,0,0,5,30,0.5,0,0.16666666666666666,3,0.8,-1.3333333333333333,-2,0,0.6666666666666666,6,13,employed,0_1k,6,357
p1e4oq4tga,23,male,1,2,1,1,0.3333333333333333,3.3333333333333335,10,1,0,1,3,0,-1,-2,0,0,3,12,employed,1k_2k,3,186
p1r1ko3a6n,26,female,3,0,3,-3,-1,-19.333333333333332,-58,1,0,1,1,1,-1.6666666666666667,-3,0,-1,3,17,employed,3k_4k,3,330
p1ro9fujga,56,female,3,0,2,-2,-1,-45,-90,1,0,0.5,4,1,-2.5,-4,-1,-1,2,16,unemployed,0_1k,2,414
p1taj15j1d,36,male,7,4,0,4,1,39,156,NaN,0,1,2,1,-0.75,-2,0,1,4,16,employed,1k_2k,4,160
p2chi38atk,32,male,2,0,2,-2,-1,-32,-64,0.5,0.5,1,1,0,-2,-3,-1,-1,2,14,employed,0_1k,2,318
p2cuoibpid,25,female,3,1,2,-1,-0.3333333333333333,-19.333333333333332,-58,1,0,0,5,0.3333333333333333,-1,-2,1,1,3,16,employed,3k_4k,3,241
p2cvf2j5ug,32,female,8,2,0,2,1,25,50,1,NaN,1,1,1,1,1,1,1,2,20,employed,2k_3k,2,321
p2qr5d02ht,25,male,7,3,0,3,1,12.666666666666666,38,1,1,1,2,1,-1.3333333333333333,-2,0,1,3,4,employed,2k_3k,3,314
p2rebuo7c3,48,male,10,2,0,2,1,26,52,1,0,1,1,0,0,-1,1,1,2,12,employed,5k_x,2,289
p2ss3vbadg,25,female,3,0,7,-7,-1,-31.714285714285715,-222,0.5714285714285714,0,0.42857142857142855,2,0.5714285714285714,-1.1666666666666667,-2,-1,-1,7,12,selfemployed,0_1k,7,678
p35a1ai7bf,64,male,0,0,3,-3,-1,-48.666666666666664,-146,0.6666666666666666,0,1,3,1,-1.3333333333333333,-2,-1,-1,3,13,employed,5k_x,3,346
p3bja1q3il,30,male,6,2,1,1,0.3333333333333333,-3.6666666666666665,-11,1,0,0,3,1,-1.3333333333333333,-2,-1,0,3,16,selfemployed,5k_x,3,221
p3dcqbv326,29,female,1,0,4,-4,-1,-47.5,-190,0.5,1,1,3.5,1,-1.25,-2,-1,-1,4,11,employed,3k_4k,4,174
p3fk04hrgs,32,male,9,1,0,1,1,41,41,1,0,1,4,1,-1,-1,-1,1,1,18,employed,3k_4k,1,234
p3fk3o1bc9,31,female,2,0,2,-2,-1,-39,-78,0,0,0,3,0,-2,-2,-2,-1,2,14,unemployed,0_1k,2,184
p3jalp38g1,35,female,8,2,2,0,0,4.25,17,1,0.75,0.75,3.5,0.75,-0.75,-1,0,-1,4,20,employed,1k_2k,4,221
p3lera2r97,37,female,0,0,4,-4,-1,-50,-200,1,0,1,2,0.75,-1.25,-2,0,-1,4,18,employed,5k_x,4,262
p3ruvk7t59,34,female,0,0,2,-2,-1,-50,-100,1,1,1,NA,1,-2.5,-3,-2,-1,2,13,employed,0_1k,2,427
p3st2t8d7r,34,male,2,0,5,-5,-1,-34.4,-172,1,0,0.8,1,1,0,-1,1,-1,5,16,employed,2k_3k,5,354
p420mfq59t,24,male,6,3,0,3,1,22.333333333333332,67,0.6666666666666666,0,0,3,0.6666666666666666,-0.6666666666666666,-1,0,1,3,16,employed,1k_2k,3,239
p42e0m765p,68,female,5,4,1,3,0.6,9.8,49,0,0,0,3,1,-1.2,-2,0,0,5,14,retired,2k_3k,5,537
p42f7pvrt2,47,female,1,0,4,-4,-1,-48.75,-195,0.5,0,0,6,0.25,-2.5,-4,-1,-1,4,13,retired,2k_3k,4,775
p4b9eblea9,35,male,5,3,0,3,1,37.333333333333336,112,0.6666666666666666,0.3333333333333333,0,4,1,-0.3333333333333333,-1,0,1,3,16,employed,2k_3k,3,272
p4oucjvdm1,29,male,1,0,2,-2,-1,-44.5,-89,0.5,0,1,2.5,0.5,-1,-1,-1,-1,2,16,employed,1k_2k,2,181
p4rv1f9uih,28,male,10,1,0,1,1,32,32,1,1,1,2,1,-1,-1,-1,1,1,16,employed,1k_2k,1,274
p59eed6ltn,24,male,3,0,3,-3,-1,-28.333333333333332,-85,1,0,0,2,1,1,1,1,-1,3,17,employed,3k_4k,3,222
p5atb1nsd7,31,male,7,4,0,4,1,15,60,0.75,0,0,3,1,-0.6666666666666666,-2,0,1,4,16,employed,1k_2k,4,295
p5be8h0nak,39,male,8,3,0,3,1,43.666666666666664,131,0.3333333333333333,0,1,4,1,-0.6666666666666666,-2,0,1,3,15,employed,2k_3k,3,183
p5f7h569tl,43,female,1,0,3,-3,-1,-50,-150,0.3333333333333333,0,1,2,0.3333333333333333,-1,-1,-1,-1,3,14,selfemployed,0_1k,3,364
p5f7kt8pmj,25,female,7,7,1,6,0.75,12.625,101,0.8333333333333334,0.2857142857142857,1,2,0.75,-0.875,-3,0,-0.25,8,16,employed,3k_4k,8,923
p5pi6t9gsd,50,female,1,0,4,-4,-1,-43.5,-174,1,0,0.25,3,1,-0.75,-2,0,-1,4,14,unemployed,0_1k,4,416
p621b25c9i,34,female,2,0,4,-4,-1,-30.25,-121,1,0,0,3.5,0,-1.75,-2,-1,-1,4,19,selfemployed,1k_2k,4,332
p62e2ukh8m,32,female,2,0,2,-2,-1,-38,-76,0,0,0,3,0,-2.5,-4,-1,-1,2,16,unemployed,1k_2k,2,275
p668rikpgd,26,female,1,0,3,-3,-1,-48.666666666666664,-146,0,0,0.6666666666666666,4,0.3333333333333333,-2,-3,-1,-1,3,16,selfemployed,1k_2k,3,257
p689b7tigi,21,male,7,3,1,2,0.5,25,100,1,0.6666666666666666,0.75,2.5,1,-0.3333333333333333,-1,1,0.5,4,12,employed,1k_2k,4,296
p6ivk3kle6,25,male,10,1,0,1,1,49,49,0,0,1,2,0,-1,-1,-1,1,1,14,employed,1k_2k,1,226
p6k4qd8b38,33,male,3,0,4,-4,-1,-32.5,-130,1,1,0.3333333333333333,1,0.5,-1,-1,-1,-1,4,16,employed,5k_x,4,275
p6m4o06g2k,30,female,8,3,0,3,1,35.666666666666664,107,1,0,1,2,1,-1.3333333333333333,-2,-1,1,3,16,selfemployed,5k_x,3,574
