partid,aspect_ind,sentiment,age,sex,yearsofedu,job,income,qual_focused,qual_effort,duration,rating,aspect,r_risk,r_frequency,r_social,r_situation,r_control,r_active,aspect_ind_cat,r_risk_binary,r_risk_binary_n,n_aspects,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_social,p_situation,p_control,p_active,rank_frequency,med_frequency,SMRD,mean_sentiment,max_sentiment,min_sentiment
p01n5qi2cl,1,-2,39,female,13,employed,0_1k,99,99,349,0,I generally avoid risks because I don't like the surprise of the unknown,-47,week,0,0,uncontrollable,passive,Aspect #1,Contra,-1,4,0,4,-4,-1,-47.25,-189,0,0,0.25,0.75,2,2.5,-1,-2.5,-2,-3
p01n5qi2cl,2,-3,39,female,13,employed,0_1k,99,99,349,0,i don't take risks because of fear of getting hurt whether emotional or physical,-46,month,0,0,uncontrollable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-47.25,-189,0,0,0.25,0.75,3,2.5,-1,-2.5,-2,-3
p01n5qi2cl,3,-3,39,female,13,employed,0_1k,99,99,349,0,I don't take risks for fear of losing money or other monetary value,-47,week,0,0,controllable,active,Aspect #3,Contra,-1,4,0,4,-4,-1,-47.25,-189,0,0,0.25,0.75,2,2.5,-1,-2.5,-2,-3
p01n5qi2cl,4,-2,39,female,13,employed,0_1k,99,99,349,0,I don't take risks because they scare me too much,-49,month,0,0,uncontrollable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-47.25,-189,0,0,0.25,0.75,3,2.5,-1,-2.5,-2,-3
p021ssajin,1,-3,45,female,16,employed,2k_3k,97,96,539,1,I am worried about the danger of taking a risk.,-37,day,NA,1,controllable,active,Aspect #1,Contra,-1,5,0,5,-5,-1,-41.6,-208,0,0.5,0.6666666666666666,1,1,2,-1,-2,-1,-3
p021ssajin,2,-3,45,female,16,employed,2k_3k,97,96,539,1,I fear death when taking a risk.,-46,month,0,0,controllable,NA,Aspect #2,Contra,-1,5,0,5,-5,-1,-41.6,-208,0,0.5,0.6666666666666666,1,3,2,-1,-2,-1,-3
p021ssajin,3,-1,45,female,16,employed,2k_3k,97,96,539,1,I worry about impact on my family.,-47,NA,0,0,NA,NA,Aspect #3,Contra,-1,5,0,5,-5,-1,-41.6,-208,0,0.5,0.6666666666666666,1,NA,2,-1,-2,-1,-3
p021ssajin,4,-1,45,female,16,employed,2k_3k,97,96,539,1,I like thing to go well and not worry about outcome.,-39,NA,NA,NA,NA,NA,Aspect #4,Contra,-1,5,0,5,-5,-1,-41.6,-208,0,0.5,0.6666666666666666,1,NA,2,-1,-2,-1,-3
p021ssajin,5,-2,45,female,16,employed,2k_3k,97,96,539,1,I'm always scared of negative outcome.,-39,week,0,1,uncontrollable,active,Aspect #5,Contra,-1,5,0,5,-5,-1,-41.6,-208,0,0.5,0.6666666666666666,1,2,2,-1,-2,-1,-3
p08fcnk0hj,3,-1,32,male,17,employed,4k_5k,93,93,347,3,I have been burned too many times in the past going out on a limb.,-46,less_once,0,1,uncontrollable,active,Aspect #3,Contra,-1,3,0,3,-3,-1,-44,-132,0,0.3333333333333333,0,0.5,6,4,-1,-1,-1,-1
p08sennfgv,1,0,20,male,15,student,1k_2k,100,100,629,8,"Yes, because the more risks you take, the higher the chance of succeeding.",21,month,1,NA,uncontrollable,active,Aspect #1,Pro,1,3,3,0,3,1,20.666666666666668,62,1,1,0,1,3,3,1,0.3333333333333333,1,0
p08sennfgv,2,0,20,male,15,student,1k_2k,100,100,629,8,"The higher the risk, the better the reward.",23,month,1,NA,uncontrollable,active,Aspect #2,Pro,1,3,3,0,3,1,20.666666666666668,62,1,1,0,1,3,3,1,0.3333333333333333,1,0
p08sennfgv,3,1,20,male,15,student,1k_2k,100,100,629,8,"If the reward outweighs the consequences, it's worth the risk.",18,month,1,1,uncontrollable,NA,Aspect #3,Pro,1,3,3,0,3,1,20.666666666666668,62,1,1,0,1,3,3,1,0.3333333333333333,1,0
p0g53tkf8o,1,1,34,male,16,employed,2k_3k,100,83,134,7,if the reward is high enough ,50,month,0,1,controllable,active,Aspect #1,Pro,1,2,2,0,2,1,39.5,79,0.5,1,1,0.5,3,3.5,1,0.5,1,0
p0g53tkf8o,2,0,34,male,16,employed,2k_3k,100,83,134,7,if the pros are higher than the cons ,29,year,1,1,controllable,passive,Aspect #2,Pro,1,2,2,0,2,1,39.5,79,0.5,1,1,0.5,4,3.5,1,0.5,1,0
p0oa92mvhu,1,-1,48,female,18,employed,2k_3k,100,100,288,0,I don't like making mistakes.,-50,day,1,1,controllable,active,Aspect #1,Contra,-1,6,0,6,-6,-1,-49.833333333333336,-299,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,1,1.5,-1,-0.4,1,-1
p0oa92mvhu,3,-1,48,female,18,employed,2k_3k,100,100,288,0,I have a lot to lose.,-50,less_once,0,1,controllable,passive,Aspect #3,Contra,-1,6,0,6,-6,-1,-49.833333333333336,-299,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,6,1.5,-1,-0.4,1,-1
p0oa92mvhu,4,-1,48,female,18,employed,2k_3k,100,100,288,0,I don't want to get hurt.,-50,less_once,0,1,controllable,active,Aspect #4,Contra,-1,6,0,6,-6,-1,-49.833333333333336,-299,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,6,1.5,-1,-0.4,1,-1
p0oa92mvhu,5,1,48,female,18,employed,2k_3k,100,100,288,0,"People depend on me, so I need to be a positive role model.",-49,day,1,1,controllable,active,Aspect #5,Contra,-1,6,0,6,-6,-1,-49.833333333333336,-299,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,1,1.5,-1,-0.4,1,-1
