partid,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,status,device,remembered,similarity,duration
p7loem1g49,asp_judg,std,60,female,16,selfemployed,1k_2k,correct,correct,98,98,done,desktop,4,91,400
p3jalp38g1,asp_judg,std,35,female,16,employed,1k_2k,correct,correct,100,100,done,laptop,29,66,262
phtukonc17,asp_judg,std,41,male,19,employed,4k_5k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pg3evmk92s,asp_judg,std,30,male,14,employed,1k_2k,correct,correct,100,96,done,desktop,0,37,456
p3lera2r97,asp_judg,std,37,female,18,employed,5k_x,correct,correct,100,100,done,laptop,0,100,254
pm4s2hpf4p,asp_judg,std,25,male,14,employed,0_1k,correct,correct,100,100,done,desktop,73,73,304
ptfcfaaij3,asp_judg,std,24,male,12,employed,1k_2k,correct,correct,91,97,done,desktop,19,78,228
pjomiut9f3,asp_judg,std,20,male,13,selfemployed,1k_2k,correct,correct,100,100,done,laptop,57,54,642
pj0s9l55ia,asp_judg,std,27,female,16,selfemployed,0_1k,correct,correct,86,83,done,laptop,14,28,241
pogc712epf,asp_judg,std,35,male,16,employed,2k_3k,correct,correct,97,98,done,laptop,10,26,500
phvr676g54,asp_judg,std,66,male,12,selfemployed,2k_3k,correct,correct,99,92,done,desktop,86,90,312
pbv2l7v8b7,asp_judg,std,31,female,15,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
povck861kk,asp_judg,std,28,male,17,employed,2k_3k,correct,correct,89,87,done,laptop,17,42,354
pkqi59lujp,asp_judg,std,31,female,12,selfemployed,0_1k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pkovd8l667,asp_judg,std,34,female,14,employed,4k_5k,correct,correct,90,89,done,laptop,9,33,520
pgjsv4g3p0,asp_judg,std,49,female,16,unemployed,5k_x,correct,correct,100,100,done,laptop,0,52,458
pfr0l0hae0,asp_judg,std,66,male,17,employed,2k_3k,correct,correct,100,96,done,laptop,2,93,888
pvsp7i8pvn,asp_judg,std,57,female,17,selfemployed,1k_2k,correct,correct,100,97,done,laptop,6,90,943
pfg9qmo3qm,asp_judg,std,69,female,13,retired,1k_2k,correct,correct,100,100,done,desktop,13,75,659
p8bjleaivo,asp_judg,std,37,female,14,employed,0_1k,correct,correct,100,100,done,mobile,0,62,764
p3fk3o1bc9,asp_judg,std,31,female,14,selfemployed,0_1k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pstctu83l8,asp_judg,std,45,male,14,employed,2k_3k,correct,correct,87,86,done,desktop,34,74,298
p2ss3vbadg,asp_judg,std,25,female,12,selfemployed,0_1k,correct,correct,100,100,done,laptop,0,63,465
p12d5mfv3i,asp_judg,std,47,female,12,unemployed,0_1k,correct,correct,83,32,done,desktop,7,73,218
pes7cp1ohf,asp_judg,std,40,male,16,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
p7ola58i6r,asp_judg,std,44,female,16,employed,0_1k,correct,correct,100,100,done,laptop,46,95,365
pkpenn3v42,asp_judg,std,34,female,16,selfemployed,0_1k,correct,correct,84,92,done,desktop,43,87,202
pcq03ude4t,asp_judg,std,43,male,18,employed,5k_x,correct,correct,99,97,done,laptop,64,60,394
po1ihq75ko,asp_judg,std,45,female,14,employed,1k_2k,correct,correct,100,94,done,mobile,6,77,326
paktl8bjj7,asp_judg,std,27,female,18,employed,2k_3k,correct,correct,100,100,done,laptop,38,64,183
p2igo6qgaa,asp_judg,std,46,female,16,employed,3k_4k,correct,correct,100,95,done,laptop,0,66,379
pi3g5e91tk,asp_judg,std,29,female,16,unemployed,0_1k,correct,correct,100,100,done,mobile,29,57,323
pve9ncn9s6,asp_judg,std,35,male,18,employed,5k_x,correct,correct,100,100,done,laptop,18,33,474
p3ruvk7t59,asp_judg,std,34,female,13,selfemployed,0_1k,correct,correct,100,100,done,mobile,57,85,333
pubvue9nof,asp_judg,std,33,female,14,employed,1k_2k,correct,correct,100,100,done,laptop,0,78,164
p021ssajin,asp_judg,std,45,female,16,employed,2k_3k,correct,correct,90,91,done,tablet,0,71,802
pc6644v8tl,asp_judg,std,48,female,13,employed,1k_2k,correct,correct,100,100,done,laptop,0,49,913
p5pi6t9gsd,asp_judg,std,50,female,14,unemployed,5k_x,correct,correct,100,95,done,laptop,1,81,357
p6k4qd8b38,asp_judg,std,33,male,16,employed,3k_4k,correct,correct,100,100,done,desktop,89,81,359
ptoru8sg0c,asp_judg,std,32,male,15,employed,2k_3k,correct,correct,91,89,done,desktop,40,68,428
p42f7pvrt2,asp_judg,std,47,female,13,unemployed,2k_3k,correct,correct,100,100,done,desktop,0,62,1303
pddp1iltbm,asp_judg,std,39,female,14,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pcvfb8p5b5,asp_judg,std,32,male,12,unemployed,0_1k,correct,correct,100,100,done,laptop,39,73,478
