id,"partid","cond_order","cond_soepframe","soep_item",rating
1,"p7loem1g49","asp_judg","std","gen",1
2,"p3jalp38g1","asp_judg","std","gen",8
3,"pg3evmk92s","asp_judg","std","gen",4
4,"p3lera2r97","asp_judg","std","gen",0
5,"pm4s2hpf4p","asp_judg","std","gen",2
6,"ptfcfaaij3","asp_judg","std","gen",9
7,"pjomiut9f3","asp_judg","std","gen",7
8,"pj0s9l55ia","asp_judg","std","gen",2
9,"pogc712epf","asp_judg","std","gen",1
10,"phvr676g54","asp_judg","std","gen",1
11,"povck861kk","asp_judg","std","gen",7
12,"pkovd8l667","asp_judg","std","gen",3
13,"pgjsv4g3p0","asp_judg","std","gen",1
14,"pfr0l0hae0","asp_judg","std","gen",0
15,"pfg9qmo3qm","asp_judg","std","gen",3
16,"pvsp7i8pvn","asp_judg","std","gen",2
17,"p8bjleaivo","asp_judg","std","gen",5
18,"pstctu83l8","asp_judg","std","gen",4
19,"p2ss3vbadg","asp_judg","std","gen",3
20,"p12d5mfv3i","asp_judg","std","gen",2
21,"pes7cp1ohf","asp_judg","std","gen",1
22,"p7ola58i6r","asp_judg","std","gen",2
23,"pkpenn3v42","asp_judg","std","gen",1
24,"pcq03ude4t","asp_judg","std","gen",6
25,"po1ihq75ko","asp_judg","std","gen",1
26,"paktl8bjj7","asp_judg","std","gen",2
27,"p2igo6qgaa","asp_judg","std","gen",6
28,"pi3g5e91tk","asp_judg","std","gen",2
29,"pve9ncn9s6","asp_judg","std","gen",10
30,"p3ruvk7t59","asp_judg","std","gen",1
31,"pubvue9nof","asp_judg","std","gen",0
32,"p5pi6t9gsd","asp_judg","std","gen",1
33,"p021ssajin","asp_judg","std","gen",1
34,"p6k4qd8b38","asp_judg","std","gen",1
35,"pc6644v8tl","asp_judg","std","gen",0
36,"ptoru8sg0c","asp_judg","std","gen",5
37,"pddp1iltbm","asp_judg","std","gen",0
38,"pcvfb8p5b5","asp_judg","std","gen",1
39,"phafivbdml","asp_judg","std","gen",2
40,"pda8fk4eha","asp_judg","std","gen",5
41,"p42f7pvrt2","asp_judg","std","gen",1
42,"p1ro9fujga","asp_judg","std","gen",3
43,"psqq79u3er","asp_judg","std","gen",1
44,"p764r6onl3","asp_judg","std","gen",2
45,"phnc8t6ol9","asp_judg","std","gen",2
46,"p775e7r08j","asp_judg","std","gen",0
47,"pn73cj70pg","asp_judg","std","gen",2
48,"p4b9eblea9","asp_judg","std","gen",8
49,"phf8vg122e","asp_judg","std","gen",6
50,"p7u54fcc4q","asp_judg","std","gen",2
51,"pncnv2dom0","asp_judg","std","gen",9
52,"pt4j0pokcj","asp_judg","std","gen",3
53,"pksurk0hbb","asp_judg","std","gen",1
54,"pmjahfv0dm","asp_judg","std","gen",7
55,"pdk8em8rrq","asp_judg","std","gen",2
56,"pjiokntims","asp_judg","std","gen",3
57,"pv0evsea4b","asp_judg","std","gen",1
58,"p3st2t8d7r","asp_judg","std","gen",3
59,"p90o1dab0u","asp_judg","std","gen",2
60,"psmasc3auq","asp_judg","std","gen",6
61,"pp552vm3jb","asp_judg","std","gen",2
62,"ps0k8ig481","asp_judg","std","gen",10
63,"p59eed6ltn","asp_judg","std","gen",8
64,"pnu8ljve5b","asp_judg","std","gen",6
65,"po45u0nri5","asp_judg","std","gen",6
66,"pmaoctfpvq","asp_judg","std","gen",8
67,"p81792oc4t","asp_judg","std","gen",2
68,"pdqk6hs9e4","asp_judg","std","gen",1
69,"p876nerobm","asp_judg","std","gen",6
70,"p6n96ubl38","asp_judg","std","gen",6
71,"pl1gu9l8m3","asp_judg","std","gen",3
72,"po6didsknl","asp_judg","std","gen",1
73,"po9c716m7i","asp_judg","std","gen",6
74,"pdliik9kne","asp_judg","std","gen",2
75,"p95594cp0p","asp_judg","std","gen",8
76,"pp6jirdmle","asp_judg","std","gen",7
77,"pel92bgn51","asp_judg","std","gen",1
78,"pk1i57og54","asp_judg","std","gen",1
79,"p2cuoibpid","asp_judg","std","gen",3
80,"pe142cqfak","asp_judg","std","gen",1
81,"php3113cce","asp_judg","std","gen",3
82,"p0g53tkf8o","asp_judg","std","gen",8
83,"prvfvtbati","asp_judg","std","gen",3
84,"po59r3bl5f","asp_judg","std","gen",2
85,"pss5736g4h","asp_judg","std","gen",10
86,"pn1lf5g7qc","asp_judg","std","gen",2
87,"pokc96mq5l","asp_judg","std","gen",1
88,"pd3dvjq6g7","asp_judg","std","gen",8
89,"p17frg3toe","asp_judg","std","gen",7
90,"p7fh2ooref","asp_judg","std","gen",5
91,"p5po8b0u17","asp_judg","std","gen",10
92,"pv3l4i7h97","asp_judg","std","gen",1
