partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,remembered,similarity,duration
p01n5qi2cl,39,female,0,0,3,-3,-1,-45.333333333333336,-136,1,0,0,3,1,-1.6666666666666667,-3,-1,-1,3,13,employed,0_1k,3,0,63,298
p0g53tkf8o,34,male,8,1,0,1,1,34,34,1,0,1,3,1,-1,-1,-1,1,1,16,employed,1k_2k,1,100,86,135
p17frg3toe,29,female,7,3,0,3,1,40.333333333333336,121,1,0,0.3333333333333333,3,1,-0.5,-1,0,1,3,13,employed,0_1k,3,4,58,268
p1ro9fujga,56,female,3,0,13,-13,-1,-25.076923076923077,-326,1,0,0.23076923076923078,3,1,-1.0769230769230769,-2,0,-1,13,16,unemployed,0_1k,13,21,38,1121
p1taj15j1d,36,male,7,5,0,5,1,34.8,174,1,0,0.4,2,0.6,-0.25,-2,1,1,5,16,employed,1k_2k,5,0,46,247
p2chi38atk,33,male,2,0,2,-2,-1,-40.5,-81,1,0,0.5,3,0.5,0,0,0,-1,2,10,employed,0_1k,2,0,100,219
p2qr5d02ht,25,male,6,1,0,1,1,9,9,0,1,1,2,0,-1,-1,-1,1,1,4,employed,2k_3k,1,60,60,113
p2rebuo7c3,48,male,9,4,0,4,1,35.25,141,1,0,1,1,1,-1.5,-2,-1,1,4,14,employed,5k_x,4,62,63,342
p2ss3vbadg,25,female,3,1,3,-2,-0.5,-26,-104,0.5,0,0.5,1,1,-1,-2,0,-1,4,12,selfemployed,0_1k,4,0,63,465
p35a1ai7bf,64,male,1,0,3,-3,-1,-50,-150,0.6666666666666666,0.5,1,2.5,1,-0.3333333333333333,-2,2,-1,3,13,employed,5k_x,3,0,100,574
p3dcqbv326,29,female,7,1,1,0,0,0,0,0,0.5,1,1.5,0,1,1,1,1,2,14,selfemployed,4k_5k,2,63,66,217
p3jalp38g1,35,female,8,4,0,4,1,50,200,1,0,1,5,1,-1.25,-2,0,1,4,16,employed,1k_2k,4,29,66,262
p3st2t8d7r,34,male,3,1,3,-2,-0.5,-24.5,-98,1,0,0,1.5,1,0,-2,1,0.5,4,16,employed,2k_3k,4,27,78,236
p420mfq59t,24,male,6,1,2,-1,-0.3333333333333333,-8,-24,0,0,0,2,0.3333333333333333,-1,-2,0,1,3,16,employed,2k_3k,3,15,29,269
p42f7pvrt2,47,female,1,0,7,-7,-1,-49.714285714285715,-348,0,0,0.2,3,0.2857142857142857,-1.7142857142857142,-2,-1,-1,7,13,unemployed,2k_3k,7,0,62,1303
p4b9eblea9,35,male,8,3,0,3,1,29.333333333333332,88,1,0.3333333333333333,0,4,1,-0.6666666666666666,-1,0,1,3,16,employed,2k_3k,3,6,53,295
p4oucjvdm1,29,male,2,0,2,-2,-1,-40,-80,0.5,1,0,5.5,1,-1,-1,-1,-1,2,16,employed,1k_2k,2,0,73,316
p59eed6ltn,24,male,8,3,0,3,1,41.333333333333336,124,0.6666666666666666,0,0,3,0.6666666666666666,-1,-1,-1,1,3,17,employed,4k_5k,3,6,30,205
p5f7h569tl,45,female,1,0,8,-8,-1,-43.125,-345,0.625,0,1,2,0.625,-1.75,-2,-1,-1,8,14,employed,0_1k,8,40,38,738
p5pi6t9gsd,50,female,1,0,3,-3,-1,-39,-117,1,0,0,3,1,0.3333333333333333,-1,2,-1,3,14,unemployed,5k_x,3,1,81,357
p5po8b0u17,44,male,10,3,0,3,1,40.333333333333336,121,0.3333333333333333,0,1,2,1,0.5,0,1,1,3,16,employed,5k_x,3,2,70,279
p6k4qd8b38,33,male,1,0,2,-2,-1,-43.5,-87,0.5,0,0.5,6,0.5,-1,-2,0,-1,2,16,employed,3k_4k,2,89,81,359
p6mq9bhhpb,45,male,3,0,3,-3,-1,-31.333333333333332,-94,1,0,0,2,1,-1,-1,-1,-1,3,14,employed,2k_3k,3,29,56,3410
p6n96ubl38,55,female,6,2,0,2,1,26,52,1,1,1,3.5,0,-0.5,-1,0,1,2,12,employed,2k_3k,2,61,67,303
p74ntiluak,33,female,3,0,2,-2,-1,-41,-82,NaN,0.5,0,NA,1,-0.5,-1,0,-1,2,12,unemployed,0_1k,2,8,96,490
p75s2qi84c,57,female,1,0,10,-10,-1,-48.1,-481,0.9,0,0.2,3,1,-1.7,-2,-1,-1,10,14,employed,0_1k,10,0,100,765
p76482i33p,27,female,2,0,3,-3,-1,-38.333333333333336,-115,0.3333333333333333,0.3333333333333333,0,NA,0,-2,-3,-1,-1,3,16,employed,1k_2k,3,14,87,292
p764r6onl3,50,male,2,0,3,-3,-1,-50,-150,1,0,0.6666666666666666,5,0.5,-1.6666666666666667,-2,-1,-1,3,18,selfemployed,2k_3k,3,0,86,527
p775e7r08j,23,male,0,0,2,-2,-1,-50,-100,0,0,0,NA,1,-2.5,-3,-2,-1,2,16,employed,4k_5k,2,0,52,278
p7fh2ooref,58,female,5,6,3,3,0.3333333333333333,10.555555555555555,95,0.4444444444444444,0,1,5,1,-1.7777777777777777,-3,-1,1,9,16,retired,1k_2k,9,13,85,914
p7loem1g49,60,female,1,0,4,-4,-1,-34,-136,1,0,1,1.5,1,0,-1,1,-1,4,16,selfemployed,1k_2k,4,4,91,400
p7ola58i6r,44,female,2,0,4,-4,-1,-43.75,-175,1,0.75,0.6666666666666666,4,0.5,0,-2,1,-1,4,16,employed,0_1k,4,46,95,365
p7s0qv9m0d,36,male,7,1,1,0,0,-0.5,-1,0.5,0,1,2,1,1,1,1,1,2,18,employed,4k_5k,2,0,49,349
p7u54fcc4q,65,female,2,0,5,-5,-1,-26,-130,0,0.4,0.8,2.5,0,-0.25,-2,1,-1,5,14,employed,2k_3k,5,14,80,659
p8178lhu71,49,female,1,0,3,-3,-1,-48.666666666666664,-146,1,0,0.6666666666666666,3,0.6666666666666666,-0.6666666666666666,-2,1,-1,3,13,employed,0_1k,3,4,57,198
p81792oc4t,36,female,2,0,4,-4,-1,-49.5,-198,0,0,0,2.5,0.25,-2,-3,-1,-1,4,12,employed,2k_3k,4,0,41,410
p876nerobm,48,male,6,1,2,-1,-0.3333333333333333,1.6666666666666667,5,1,0,0,2,1,-1.3333333333333333,-2,-1,0,3,15,employed,2k_3k,3,14,78,357
p8j43n1q2e,27,female,1,0,4,-4,-1,-36.5,-146,0,0.25,0.75,5,0.75,-1,-1,-1,-1,4,14,unemployed,0_1k,4,16,67,277
p90o1dab0u,57,female,2,0,2,-2,-1,-41,-82,NaN,0,1,5,NaN,-1.5,-2,-1,-1,2,12,employed,1k_2k,2,25,73,251
p95594cp0p,37,male,8,4,0,4,1,41.25,165,0.5,0,1,2,0.75,0.25,0,1,1,4,13,employed,3k_4k,4,0,87,328
p98vdnfo6t,40,female,1,0,1,-1,-1,-38,-38,0,0,0,1,1,-3,-3,-3,-1,1,15,employed,3k_4k,1,80,86,128
paah0tgdb0,30,male,2,0,5,-5,-1,-32.8,-164,1,0,1,3,1,-1,-1,-1,-1,5,20,employed,3k_4k,5,6,59,468
pae1oh4880,32,male,0,0,1,-1,-1,-50,-50,0,0,0,2,0,-3,-3,-3,-1,1,16,employed,1k_2k,1,0,92,94
paktl8bjj7,27,female,2,0,2,-2,-1,-31,-62,1,0.5,1,1.5,1,-1.5,-2,-1,-1,2,18,employed,2k_3k,2,38,64,183
papbma6ag3,37,female,2,0,4,-4,-1,-39,-156,0.5,0.25,0.75,2,0.5,-1.75,-2,-1,-1,4,16,selfemployed,1k_2k,4,20,78,304
pbai7dfvr0,42,male,8,2,1,1,0.3333333333333333,7,21,1,0.3333333333333333,1,2,1,-1.3333333333333333,-2,0,1,3,20,employed,5k_x,3,20,55,252
pbo5rcjj99,35,female,0,0,10,-10,-1,-22.7,-227,0.2,0.5,1,2,0.8,-2.1,-3,-1,-1,10,10,employed,5k_x,10,57,59,1105
pc6644v8tl,48,female,0,1,4,-3,-0.6,-36,-180,0.5,0.2,0.6,5,0.5,-1.6,-3,0,0.6,5,13,employed,1k_2k,5,0,49,913
pcq03ude4t,43,male,6,3,0,3,1,21.666666666666668,65,1,0,1,3,1,-0.3333333333333333,-3,1,1,3,18,employed,5k_x,3,64,60,394
pcqs85n21b,43,male,1,0,4,-4,-1,-47.25,-189,1,0,0.25,1,1,-1,-2,0,-1,4,13,employed,2k_3k,4,58,89,797
pd3dvjq6g7,28,male,8,3,0,3,1,50,150,1,0,1,3,1,0,0,0,1,3,12,employed,2k_3k,3,70,70,320
pdk8em8rrq,58,female,2,2,1,1,0.3333333333333333,10.666666666666666,32,0.6666666666666666,1,1,3,0.6666666666666666,-1.6666666666666667,-3,0,0,3,14,employed,3k_4k,3,34,70,423
pdliik9kne,67,male,2,3,2,1,0.2,-6.8,-34,0.6666666666666666,0.4,0.6,4,1,-0.6,-2,0,0.8,5,16,retired,1k_2k,5,0,56,830
pdqk6hs9e4,51,female,1,0,3,-3,-1,-50,-150,1,0.3333333333333333,0.6666666666666666,1.5,1,-2.3333333333333335,-4,-1,-1,3,14,selfemployed,3k_4k,3,0,100,336
pe142cqfak,55,female,1,0,3,-3,-1,-34.333333333333336,-103,1,0.6666666666666666,0.6666666666666666,2,1,-1.3333333333333333,-2,-1,-1,3,13,retired,0_1k,3,2,84,405
pel92bgn51,34,male,1,0,4,-4,-1,-43.75,-175,0,0.5,0.5,2,0.5,0.3333333333333333,-1,1,-1,4,16,employed,2k_3k,4,55,74,221
pemvdndov1,36,female,4,2,1,1,0.3333333333333333,8,24,NaN,0,0.3333333333333333,3,1,-2,-3,-1,1,3,17,unemployed,0_1k,3,0,49,293
pf1ok9j6mf,58,female,0,3,0,3,1,50,150,0.5,0,0,4,1,-2.6666666666666665,-4,-1,1,3,16,employed,2k_3k,3,0,94,380
pf28ih4eu6,27,male,10,1,0,1,1,50,50,1,0,1,1,0,0,0,0,1,1,14,employed,5k_x,1,100,100,368
pfg9qmo3qm,69,female,3,1,2,-1,-0.3333333333333333,-26,-78,0.3333333333333333,0.3333333333333333,1,6,0,-1.3333333333333333,-3,0,-1,3,13,retired,1k_2k,3,13,75,659
pfr0l0hae0,66,male,0,0,3,-3,-1,-48.666666666666664,-146,1,1,0.6666666666666666,2,0.6666666666666666,-0.6666666666666666,-2,1,-1,3,17,employed,2k_3k,3,2,93,888
pfun3j6ut0,34,male,0,0,4,-4,-1,-34.5,-138,0.75,0,0.25,2.5,0.75,-0.5,-2,2,-1,4,18,employed,5k_x,4,0,69,383
pg3evmk92s,30,male,4,0,3,-3,-1,-28.666666666666668,-86,0.3333333333333333,0,0,4,1,-2,-3,-1,-1,3,14,employed,1k_2k,3,0,37,456
pga0e1dm62,37,male,8,4,0,4,1,28.75,115,1,0.5,0,2,1,-0.75,-1,0,1,4,26,employed,5k_x,4,25,68,548
pgjsv4g3p0,49,female,1,0,3,-3,-1,-50,-150,0.6666666666666666,0,0,1,NaN,0.3333333333333333,-1,1,-1,3,16,unemployed,5k_x,3,0,52,458
