partid,rating_s2,n_seeking_s2,n_avoiding_s2,m_risk_s2,s_risk_s2,p_control_s2,p_social_s2,p_situation_s2,med_frequency_s2,p_active_s2,mean_sentiment_s2,n_aspects_s2,m_aspects_s2,s_aspects_s2,remembered,similarity,rating_s1,n_seeking_s1,n_avoiding_s1,m_risk_s1,s_risk_s1,p_control_s1,p_social_s1,p_situation_s1,med_frequency_s1,p_active_s1,mean_sentiment_s1,n_aspects_s1,m_aspects_s1,s_aspects_s1,pred_VUM_s1,pred_VUM_s2,m_similarity_between,m_similarity_within_s1,m_similarity_within_s2,p_overlap_between,p_overlap_within_s1,p_overlap_within_s2,delta_rating,delta_VUM
p01n5qi2cl,0,0,3,-45.333333333333336,-136,1,0,0,3,1,-1.6666666666666667,3,-1,-3,0,63,0,0,4,-47.25,-189,0.25,0,0,2.5,0.75,-2.5,4,-1,-4,-47.325350681370466,-45.29567018489326,3.444444444444444,3.2777777777777777,3.3333333333333335,0,0,0,0,2.029680496477205
p0g53tkf8o,8,1,0,34,34,1,0,1,3,1,-1,1,1,1,100,86,7,2,0,39.5,79,1,0.5,1,3.5,0.5,0.5,2,1,2,38.82411308423972,34,3.833333333333333,4.666666666666667,NA,0,0,NA,1,4.82411308423972
p17frg3toe,7,3,0,40.333333333333336,121,1,0,0.3333333333333333,3,1,-0.5,3,1,3,4,58,7,3,3,5,30,0.5,0,0.16666666666666666,3,0.8,-1.3333333333333333,6,0,0,3.3129315113599156,40.08763107774841,2.537037037037037,2.2888888888888888,2.666666666666667,0.3333333333333333,0.16666666666666666,0,0,36.7746995663885
p1ro9fujga,3,0,13,-25.076923076923077,-326,1,0,0.23076923076923078,3,1,-1.0769230769230769,13,-1,-13,21,38,3,0,2,-45,-90,1,0,0.5,4,1,-2.5,2,-1,-2,-44.6781490877332,-24.8437456514072,3.3846153846153846,3,3.2393162393162394,0,0,0,0,19.834403436326003
p1taj15j1d,7,5,0,34.8,174,1,0,0.4,2,0.6,-0.25,5,1,5,0,46,7,4,0,39,156,NaN,0,1,2,1,-0.75,4,1,4,38.95787028995348,34.97548534498111,3.55,3.4444444444444446,3.2,0,0,0,0,3.982384944972374
p2chi38atk,2,0,2,-40.5,-81,1,0,0.5,3,0.5,0,2,-1,-2,0,100,2,0,2,-32,-64,0.5,0.5,1,1,0,-2,2,-1,-2,-31.356298175466403,-39.888483266693086,3.166666666666667,1.6666666666666667,1.3333333333333333,0,0,0,0,8.532185091226683
p2qr5d02ht,6,1,0,9,9,0,1,1,2,0,-1,1,1,1,60,60,7,3,0,12.666666666666666,38,1,1,1,2,1,-1.3333333333333333,3,1,3,12.735952277927378,9,2.7777777777777777,3.2222222222222223,NA,0,0,NA,1,3.735952277927378
p2rebuo7c3,9,4,0,35.25,141,1,0,1,1,1,-1.5,4,1,4,62,63,10,2,0,26,52,1,0,1,1,0,0,2,1,2,25.678149087733203,34.27569815633835,4.25,3.6666666666666665,3.7222222222222223,0.5,0,0,1,8.597549068605147
p2ss3vbadg,3,1,3,-26,-104,0.5,0,0.5,1,1,-1,4,-0.5,-2,0,63,3,0,7,-31.714285714285715,-222,0.5714285714285714,0,0.42857142857142855,2,0.5714285714285714,-1.1666666666666667,7,-1,-7,-31.758686058523473,-24.162407108241474,1.7857142857142858,1.380952380952381,2.7222222222222223,0.5,0,0,0,7.596278950281999
p35a1ai7bf,1,0,3,-50,-150,0.6666666666666666,0.5,1,2.5,1,-0.3333333333333333,3,-1,-3,0,100,0,0,3,-48.666666666666664,-146,0.6666666666666666,0,1,3,1,-1.3333333333333333,3,-1,-3,-48.65458529542781,-50,3.3333333333333335,2.5555555555555554,3.111111111111111,0,0,0,1,1.3454147045721925
p3dcqbv326,7,1,1,0,0,0,0.5,1,1.5,0,1,2,0,0,63,66,1,0,4,-47.5,-190,0.5,1,1,3.5,1,-1.25,4,-1,-4,-47.20671707048369,2.4460669332276694,3.75,3.7222222222222223,3.3333333333333335,0,0,0,6,49.65278400371136
p3jalp38g1,8,4,0,50,200,1,0,1,5,1,-1.25,4,1,4,29,66,8,2,2,4.25,17,1,0.75,0.75,3.5,0.75,-0.75,4,0,0,8.796406520346931,50,2.9166666666666665,2.6666666666666665,2.7222222222222223,0,0,0,0,41.203593479653065
p3st2t8d7r,3,1,3,-24.5,-98,1,0,0,1.5,1,0,4,-0.5,-2,27,78,2,0,5,-34.4,-172,1,0,0.8,1,1,0,5,-1,-5,-34.55205756603267,-26.578525072136383,2.5,2,1.5555555555555556,0,0,0,1,7.97353249389629
p420mfq59t,6,1,2,-8,-24,0,0,0,2,0.3333333333333333,-1,3,-0.3333333333333333,-1,15,29,6,3,0,22.333333333333332,67,0.6666666666666666,0,0,3,0.6666666666666666,-0.6666666666666666,3,1,3,23.104536085630293,-10.494828825473752,2.4074074074074074,2,1.8888888888888888,0,0,0,0,33.59936491110405
