partid,aspect_ind,sentiment,age,sex,yearsofedu,job,income,qual_focused,qual_effort,remembered,similarity,duration,rating,aspect,r_risk,r_frequency,r_social,r_situation,r_control,r_active,aspect_ind_cat,r_risk_binary,r_risk_binary_n,n_aspects,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_social,p_situation,p_control,p_active,rank_frequency,med_frequency,mean_sentiment,max_sentiment,min_sentiment,SMRD
p01n5qi2cl,1,-1,39,female,13,employed,0_1k,98,98,0,63,298,0,Personal Experiences. I try to think of my own personal experiences and how much I avoid risks generally.,-46,month,0,0,controllable,active,Aspect #1,Contra,-1,3,0,3,-3,-1,-45.333333333333336,-136,0,0,1,1,3,3,-1.6666666666666667,-1,-3,-1
p01n5qi2cl,2,-3,39,female,13,employed,0_1k,98,98,0,63,298,0,Physical Danger. If the risks have personal physical danger then I usually avoid them.,-45,month,0,0,controllable,active,Aspect #2,Contra,-1,3,0,3,-3,-1,-45.333333333333336,-136,0,0,1,1,3,3,-1.6666666666666667,-1,-3,-1
p01n5qi2cl,3,-1,39,female,13,employed,0_1k,98,98,0,63,298,0,Safety. I try to think about how much I like to be safe and not takes risks generally at all because I'm too scared.,-45,year,0,0,controllable,active,Aspect #3,Contra,-1,3,0,3,-3,-1,-45.333333333333336,-136,0,0,1,1,4,3,-1.6666666666666667,-1,-3,-1
p0g53tkf8o,1,-1,34,male,16,employed,1k_2k,100,78,100,86,135,8,"Yes, I would take risks only IF I run through multiple scenarios of the outcome and decide that the risk would be better than being safe.",34,month,0,1,controllable,active,Aspect #1,Pro,1,1,1,0,1,1,34,34,0,1,1,1,3,3,-1,-1,-1,1
p17frg3toe,1,0,29,female,13,employed,0_1k,100,100,4,58,268,7,The excitement from risk taking.,50,week,0,0,controllable,active,Aspect #1,Pro,1,3,3,0,3,1,40.333333333333336,121,0,0.3333333333333333,1,1,2,3,-0.5,0,-1,1
p17frg3toe,3,-1,29,female,13,employed,0_1k,100,100,4,58,268,7,Knowing that I want to do it but the fear is there so I push through it.,26,month,0,1,controllable,active,Aspect #3,Pro,1,3,3,0,3,1,40.333333333333336,121,0,0.3333333333333333,1,1,3,3,-0.5,0,-1,1
p1ro9fujga,1,-2,56,female,16,unemployed,0_1k,95,91,21,38,1121,3,"I try to avoid taking risks by not doing dangerous sports like mountain biking, or skateboarding.",-38,NA,0,0,controllable,active,Aspect #1,Contra,-1,13,0,13,-13,-1,-25.076923076923077,-326,0,0.23076923076923078,1,1,NA,3,-1.0769230769230769,0,-2,-1
p1ro9fujga,2,-2,56,female,16,unemployed,0_1k,95,91,21,38,1121,3,I tend to avoid risk by being a very conservative investor.,-29,month,0,0,controllable,active,Aspect #2,Contra,-1,13,0,13,-13,-1,-25.076923076923077,-326,0,0.23076923076923078,1,1,3,3,-1.0769230769230769,0,-2,-1
p1ro9fujga,3,-1,56,female,16,unemployed,0_1k,95,91,21,38,1121,3,I tend to avoid risk by staying away from big cities.,-27,less_once,0,0,controllable,active,Aspect #3,Contra,-1,13,0,13,-13,-1,-25.076923076923077,-326,0,0.23076923076923078,1,1,6,3,-1.0769230769230769,0,-2,-1
p1ro9fujga,4,0,56,female,16,unemployed,0_1k,95,91,21,38,1121,3,I try to avoid risk by being a safe driver.,-11,day,0,0,controllable,active,Aspect #4,Contra,-1,13,0,13,-13,-1,-25.076923076923077,-326,0,0.23076923076923078,1,1,1,3,-1.0769230769230769,0,-2,-1
